"","label","X","Y","Z"
"1","1_1",410508.15725,5317096.0095,288.6835
"4","1_2",410509.1255,5317095.82225,288.68
"7","1_3",410510.11,5317095.63025,288.68375
"10","1_4",410511.07825,5317095.44025,288.69725
"13","1_5",410507.97675,5317095.048,288.69375
"16","1_6",410508.95175,5317094.8765,288.69175
"19","1_7",410509.9345,5317094.68225,288.69775
"22","1_8",410510.90075,5317094.475,288.71325
"25","1_9",410507.7955,5317094.07925,288.70775
"28","1_10",410508.769,5317093.90075,288.71225
"31","1_11",410509.7435,5317093.7125,288.699
"34","1_12",410510.715,5317093.516,288.73125
"37","2_1",410511.19675,5317100.07225,288.63725
"40","2_2",410511.019,5317099.09625,288.6275
"43","2_3",410510.82425,5317098.1185,288.64525
"46","2_4",410510.65525,5317097.14075,288.65725
"49","2_5",410510.237,5317100.26975,288.6285
"52","2_6",410510.075,5317099.31625,288.63225
"55","2_7",410509.90475,5317098.309,288.638
"58","2_8",410509.71925,5317097.34025,288.649
"61","2_9",410509.2725,5317100.46475,288.62725
"64","2_10",410509.1025,5317099.48925,288.62675
"67","2_11",410508.91425,5317098.502,288.63775
"70","2_12",410508.7405,5317097.5325,288.6505
"73","3_1",410507.877,5317100.298,288.5965
"76","3_2",410508.106,5317099.33825,288.6085
"79","3_3",410508.34925,5317098.356,288.6305
"82","3_4",410508.5785,5317097.396,288.653
"85","3_5",410506.91575,5317100.05,288.60875
"88","3_6",410507.15825,5317099.0875,288.6145
"91","3_7",410507.3965,5317098.11325,288.6855
"94","3_8",410507.63525,5317097.15425,288.6565
"97","3_9",410505.982,5317099.80825,288.628
"100","3_10",410506.20425,5317098.8505,288.64075
"103","3_11",410506.44525,5317097.88425,288.64825
"106","3_12",410506.6805,5317096.92975,288.656
"109","4_1",410513.96025,5317098.66125,288.67325
"112","4_2",410513.46,5317097.818,288.67725
"115","4_3",410512.9495,5317096.948,288.68225
"118","4_4",410512.45225,5317096.0945,288.6975
"121","4_5",410513.12625,5317099.165,288.65875
"124","4_6",410512.624,5317098.3185,288.666
"127","4_7",410512.11375,5317097.45575,288.63925
"130","4_8",410511.61275,5317096.59875,288.6505
"133","4_9",410512.2755,5317099.665,288.64825
"136","4_10",410511.7595,5317098.81725,288.65175
"139","4_11",410511.24825,5317097.951,288.6605
"142","4_12",410510.7665,5317097.102,288.671
"145","5_1",410516.1585,5317095.949,288.72675
"148","5_2",410515.33975,5317095.3885,288.72075
"151","5_3",410514.515,5317094.8125,288.71725
"154","5_4",410513.707,5317094.26075,288.71225
"157","5_5",410515.6335,5317096.7725,288.712
"160","5_6",410514.8275,5317096.213,288.709
"163","5_7",410513.9965,5317095.63075,288.70975
"166","5_8",410513.1895,5317095.078,288.71025
"169","5_9",410515.118,5317097.6025,288.708
"172","5_10",410514.30525,5317097.04125,288.698
"175","5_11",410513.467,5317096.46875,288.69425
"178","5_12",410512.653,5317095.92025,288.69625
"5833","6_1",410517.26875,5317093.03275,288.759
"5836","6_2",410516.32575,5317092.75775,288.7475
"5839","6_3",410515.35675,5317092.47325,288.74575
"5842","6_4",410514.41425,5317092.18825,288.754
"5845","6_5",410516.9685,5317093.98425,288.7445
"5848","6_6",410516.03025,5317093.69675,288.732
"5851","6_7",410515.064,5317093.40725,288.7295
"5854","6_8",410514.11775,5317093.125,288.73025
"5857","6_9",410516.68325,5317094.906,288.743
"5860","6_10",410515.73525,5317094.63175,288.73775
"5863","6_11",410514.78725,5317094.34575,288.728
"5866","6_12",410513.8375,5317094.05875,288.71725
